id;word;art;mean;art_chosen;art_right;art_wrong;categ
1;Plan;der;plan;;0;0;trabalho
2;Glas;das;copo;;0;0;casa
3;Jahr;das;year;;0;0;tempo
4;Mann;der;man;;0;0;pessoa
5;Ball;der;ball;;0;0;esporte
6;klar;;clear;;0;0;adj/adv
7;alt;;old;;0;0;adj/adv
8;kalt;;cold;;0;0;adj/adv
9;was;;what;;0;0;palavra
10;wer;;who;;0;0;palavra
11;Tee;der;tee;;0;0;comida
12;Bett;das;bed;;0;0;casa
13;Welt;die;world;;0;0;natureza
14;wenn;;if;;0;0;palavra
15;jetzt;;now;;0;0;tempo
16;Garten;der;jardim;;0;0;casa
17;Wasser;das;water;;0;0;casa
18;Vater;der;father;;0;0;pessoa
19;Lehrer;der;teacher;;0;0;pessoa
20;Klasse;die;class;;0;0;palavra
21;lernen;;to learn, to study;;0;0;verbo
22;haben;;have;;0;0;verbo
23;sehen;;see;;0;0;verbo
24;Ding;das;thing;;0;0;palavra
25;Wind;der;wind;;0;0;natureza
26;Kind;das;child;;0;0;pessoa
27;Winter;der;winter;;0;0;tempo
28;frisch;;fresh;;0;0;adj/adv
29;Brot;das;pão;;0;0;comida
30;Rose;die;rose;;0;0;natureza
31;Sohn;der;son;;0;0;pessoa
32;Monat;der;month;;0;0;tempo
33;rot;;red;;0;0;adj/adv
34;Onkel;der;uncle;;0;0;pessoa
35;Stock;der;stick, floor (andar);;0;0;casa
36;voll;;full;;0;0;adj/adv
37;dort;;there;;0;0;adj/adv
38;Suppe;die;soup;;0;0;comida
39;unter;;under;;0;0;adj/adv
40;Kaffee;der;coffee;;0;0;comida
41;Juni;der;june;;0;0;tempo
42;Kanada;das;kanada;;0;0;país
43;wie;;how;;0;0;palavra
44;Schwester;die;sister;;0;0;pessoa
45;Tante;die;aunt;;0;0;pessoa
46;Schule;die;school;;0;0;escola
47;Bruder;der;brother;;0;0;pessoa
48;Hut;der;hat;;0;0;palavra
49;Schuh;der;shoe;;0;0;palavra
50;Auto;das;car;;0;0;palavra
51;Haus;das;casa;;0;0;casa
52;Frau;die;woman;;0;0;pessoa
53;blau;;blue;;0;0;adj/adv
54;braun;;brown;;0;0;adj/adv
55;Eisen;das;iron;;0;0;palavra
56;heiB;;hot;;0;0;adj/adv
57;weiB;;white;;0;0;adj/adv
58;Freund;der;friend;;0;0;pessoa
59;Deutsch;das;Deutsch;;0;0;país
60;heute;;today;;0;0;adj/adv
61;neu;;new;;0;0;adj/adv
62;Bär;der;bear;;0;0;natureza
63;zählen;;to count;;0;0;verbo
64;spät;;late;;0;0;adj/adv
65;März;der;march;;0;0;tempo
66;Bäcker;der;baker;;0;0;pessoa
67;Öl;das;óleo;;0;0;palavra
68;schön;;beautiful, handsome, good, great;;0;0;adj/adv
69;hören;;to hear;;0;0;verbo
70;Köln;das;Köln;;0;0;país
71;von;;of;;0;0;preposicao
72;bis;;till;;0;0;preposicao
73;kühl;;cool;;0;0;adj/adv
74;grün;;green;;0;0;adj/adv
75;für;;for;;0;0;preposicao
76;Schüler;der;student;;0;0;escola
77;Wetter;das;weather;;0;0;natureza
78;dünn;;thin;;0;0;adj/adv
79;küssen;;to kiss;;0;0;verbo
80;Licht;das;light;;0;0;natureza
81;Milch;die;leite;;0;0;comida
82;sprechen;;to speak;;0;0;verbo
83;Buch;das;book;;0;0;palavra
84;Tochter;die;daughter;;0;0;pessoa
85;fertig;;finished, ready;;0;0;adj/adv
86;Tag;der;day;;0;0;tempo
87;Weg;der;path;;0;0;natureza
88;Beispiel;das;example;;0;0;palavra
89;gehen;;go;;0;0;verbo
90;kommen;;to come;;0;0;verbo
91;kaufen;;buy;;0;0;verbo
92;spielen;;play;;0;0;verbo
93;Tier;das;animal;;0;0;natureza
94;oft;;frequent, often;;0;0;adj/adv
95;groB;;big, large, tall;;0;0;adj/adv
96;singen;;sing;;0;0;verbo
97;nach;;to, after;;0;0;preposicao
98;Nacht;die;night;;0;0;tempo
99;Feder;die;"feather; plume";;0;0;natureza
100;Hemd;das;shirt;;0;0;palavra
101;Kravatte;die;tie;;0;0;trabalho
102;Uhr;die;clock;;0;0;tempo
103;Parfüm;das;perfum;;0;0;palavra
104;Handtasche;die;handbag, purse;;0;0;palavra
105;StraBe;die;street;;0;0;cidade
106;Bahnhof;der;station;;0;0;cidade
107;Postamt;das;post office;;0;0;cidade
108;Telefon;das;telephon;;0;0;casa
109;Polizeiwache;die;police station;;0;0;cidade
110;Wartesaal;der;waiting room;;0;0;casa
111;Parkplatz;der;park place;;0;0;casa
112;Saal;der;hall;;0;0;casa
113;Paar;das;pair, couple;;0;0;pessoa
114;Sonntag;der;Sunday;;0;0;tempo
115;Montag;der;Monday;;0;0;tempo
116;Dienstag;der;Tuesday;;0;0;tempo
117;Mittwoch;der;Wednesday;;0;0;tempo
118;Donnerstag;der;Thursday;;0;0;tempo
119;Freitag;der;Friday;;0;0;tempo
120;Samstag;der;Saturday;;0;0;tempo
121;müssen;;must;;0;0;verbo
122;sagen;;to say;;0;0;verbo
123;sitzen;;to sit;;0;0;verbo
124;Teil;der;part;;0;0;palavra
125;spazieren;;to stroll;;0;0;verbo
126;Kino;das;cinema;;0;0;cidade
127;Adler;der;eagle;;0;0;natureza
128;Tasche;die;bag;;0;0;palavra
129;Muster;das;pattern, model;;0;0;palavra
